"Word","SUBTLEX.FREQ","BNC.FREQ","Celex.FREQ"
"aweigh",12,3,2
"awes",0,2,2
"awesome",1255,397,95
"awestruck",3,44,6
"awful",3046,3044,1073
"awhile",478,89,38
"awkward",710,1577,356
"awl",2,45,3
"awls",0,0,1
"awning",24,74,13
"awnings",3,55,10
"awoke",67,371,100
"awry",26,102,25
"axe",229,791,127
"axed",14,195,0
"axes",33,435,44
"axing",3,44,4
"axiom",7,91,23
"axioms",1,66,16
"axis",33,1041,183
"axle",49,166,20
"axles",3,55,22
"ay",52,252,0
"ayah",0,19,13
"aye",663,5166,230
"ayes",9,23,5
"azure",10,106,17
"ba",123,1003,128
"baa",12,137,0
"babble",43,112,38
"babbled",10,35,20
"babbling",150,67,37
"babe",1328,201,35
"babel",0,73,11
"babes",159,117,8
"babied",5,5,0
"babies",1582,2449,1339
"baboon",80,90,31
"baboons",31,83,49
"babu",0,6,4
"baby",22729,9070,3281
"baccy",1,32,2
"back",98533,102327,22071
"backache",13,74,9
"backaches",7,6,2
"backbench",0,130,22
"backbone",82,378,78
"backbones",6,26,4
"backchat",1,25,0
"backcloth",0,73,15
"backcloths",0,4,0
"backcombed",0,12,0
"backdate",0,9,0
"backdoor",24,29,9
"backdrop",24,436,34
"backdrops",2,47,4
"backed",374,2520,365
"backer",48,79,12
"backers",32,179,18
"background",865,6171,905
"backgrounds",49,753,116
"backhand",34,35,47
"backing",305,2020,227
"backings",0,11,0
"backlash",7,266,33
"backless",15,20,4
"backlog",14,202,18
"backlogs",1,14,0
"backroom",24,55,9
"backs",391,1414,452
"backseat",112,16,1
"backside",78,284,39
"backsides",15,41,16
"backslide",1,5,0
"backspace",0,76,0
"backstage",243,192,32
"backstairs",10,23,25
"backstay",0,14,0
"backstroke",12,43,0
"backtrack",22,41,4
"backtracked",7,18,5
"backtracks",0,5,1
"backup",802,263,72
"backups",22,22,1
"backward",141,657,259
"backwards",633,1806,353
"backwash",12,43,13
"backwoods",27,26,8
"backyard",350,126,33
"backyards",12,28,7
"bacon",461,1462,288
"bad",26037,15468,3755
"bade",22,141,36
"badge",741,555,117
"badger",49,353,61
"badgered",10,28,10
"badgers",6,287,79
"badges",94,275,48
"badly",1286,4337,981
"badness",23,32,15
"baffle",8,56,16
"baffled",47,345,110
"baffles",18,31,4
"baffling",13,113,30
"bag",4600,5338,1122
"bagful",5,14,13
"baggage",300,465,152
"bagged",91,105,5
"bagging",42,43,6
"baggy",42,265,34
"bagpipe",13,24,2
"bagpipes",29,98,10
"bags",1419,2198,373
"bah",25,27,6
"bahrain",0,166,7
"bail",793,1023,187
"bailed",138,117,10
"bailee",0,44,1
"bailees",0,6,0
"bailey",1,1045,22
"baileys",0,35,3
"bailiff",46,184,14
"bailiffs",7,166,42
"bailing",71,44,10
"bailment",0,33,0
"bailor",0,19,1
"bails",10,17,2
"bairn",11,66,1
"bairns",0,96,4
"bait",457,563,579
"baited",17,72,45
"baiting",36,82,44
"baits",9,135,161
"baize",0,75,29
"bake",267,502,100
"baked",302,664,200
"baker",83,2226,269
"bakers",9,157,42
"bakes",27,27,5
"baking",166,604,118
"baksheesh",5,4,3
"balance",706,8857,1407
"balanced",116,1994,378
"bald",439,636,149
"balder",5,26,3
"baldest",0,5,0
"balding",28,176,31
"baldly",0,50,7
"baldness",11,47,16
"baldrics",0,3,0
"bale",71,145,26
"baleful",5,87,27
"bales",9,176,31
"balk",2,25,8
"balked",9,33,20
"balks",1,4,1
"ball",4973,7573,1664
"ballad",57,197,25
"ballade",1,16,4
"ballades",0,8,1
"ballads",20,195,25
"ballast",54,123,40
"ballcock",2,9,2
"ballet",428,1261,272
"ballets",11,249,14
"balloon",422,651,58
"ballooned",3,28,5
"balloons",224,385,54
"ballot",61,1012,141
"ballots",15,147,32
"ballpoint",17,50,17
"ballpoints",1,6,1
"ballroom",169,327,51
"ballrooms",1,14,6
"balls",1927,1534,386
"bally",10,32,2
"balm",28,104,24
"balms",1,3,0
"balmy",26,75,25
"balsa",5,22,16
"balsam",1,38,2
"balsams",1,4,0
"bamboo",70,290,105
"bamboos",4,23,5
"ban",125,3150,235
"banal",14,170,54
"band",2485,6759,588
"bandage",137,253,76
"bandaged",25,129,40
"bandbox",1,3,2
"bandeau",0,5,1
"banded",9,130,20
"bandied",11,52,10
"banding",6,167,8
"bandit",126,77,19
"bandits",133,147,29
"bands",251,2282,235
"bandsman",0,7,1
"bandsmen",0,27,5
"bandstand",24,51,19
"bandstands",0,4,1
"bandy",16,32,10
"bane",24,69,17
"baneful",1,10,7
"bang",625,1296,241
"banged",154,443,110
"banger",28,77,7
"bangers",21,54,14
"banging",386,499,119
"bangle",2,18,7
"bangles",3,53,13
"bangs",82,128,44
"banish",60,147,36
"banished",92,345,65
"banjo",76,45,6
"banjos",4,4,2
"bank",3822,17932,2385
"banked",22,167,40
"banker",225,604,125
"bankers",97,880,129
"banking",130,2179,149
"banknote",6,16,2
"banknotes",11,110,12
"bankroll",56,13,3
"bankrupt",136,742,87
"bankrupts",4,20,1
"banks",497,7032,756
"banned",132,1858,230
"banner",127,571,122
"banners",38,329,56
"banning",18,481,77
"bannock",17,12,1
"banns",7,33,7
"banquet",256,362,67
"banquets",7,74,23
"bans",1,265,14
"banshee",29,43,3
"banshees",12,21,1
"bantam",3,84,4
"bantams",0,23,0
"banter",67,181,12
"bantered",0,9,0
"bantu",0,52,63
"baptist",5,460,76
"baptists",3,99,24
"baptize",35,18,12
"baptized",98,244,50
"bar",3980,8008,1191
"barb",4,54,14
"barbed",60,290,144
"barbel",0,113,29
"barbels",0,17,0
"barber",223,432,123
"barbers",10,30,11
"barbs",12,166,19
"bard",16,126,9
"bardic",1,24,1
"bards",1,29,3
"bare",401,2384,669
"bareback",20,18,14
"bared",18,148,50
"barefaced",4,12,3
"barefoot",103,230,74
"barely",1336,2297,515
"bareness",0,10,4
"barer",1,6,1
"bares",3,13,1
"barest",5,61,15
"bargain",592,1157,239
"bargained",37,124,30
"bargains",28,308,39
"barge",188,336,63
"barged",30,57,10
"bargee",1,10,0
"bargees",0,3,0
"bargeman",0,3,0
"bargemen",2,23,0
"barges",11,211,30
"barging",86,50,13
"baring",7,122,17
"barium",18,153,0
"bark",240,596,162
"barked",17,331,55
"barker",4,426,65
"barkers",1,22,2
"barking",397,480,88
"barks",133,69,7
"barley",31,587,174
"barm",0,15,0
"barmaid",33,147,20
"barmaids",5,13,4
"barman",19,377,93
"barmen",3,42,10
"barmy",4,108,15
"barn",609,1333,186
"barns",20,267,40
"barnyard",42,11,8
"baron",165,795,107
"barons",36,398,46
"baroque",7,550,93
"barrack",15,89,6
"barracked",0,14,0
"barracks",200,640,92
"barrage",49,443,113
"barred",62,609,113
"barrel",519,879,253
"barrelled",1,25,0
"barrels",138,559,126
"barren",72,425,122
"barrier",155,1602,336
"barriers",47,1460,205
"barring",23,173,31
"barrow",10,568,55
"barrows",3,79,10
"bars",890,2438,482
"barter",41,169,18
"bartered",5,31,5
"barters",0,3,0
"basalt",10,113,7
"base",1584,9152,1187
"baseball",1145,423,110
"baseboard",9,13,1
"baseboards",3,3,0
"baseless",17,37,5
"baseline",37,522,6
"baselines",1,32,0
"basement",1052,841,224
"basements",29,31,12
"baseness",2,7,6
"baser",7,36,2
"bases",166,1612,270
"basest",11,6,3
"bash",129,277,24
"bashed",53,99,25
"bashes",5,11,3
"bashful",59,47,14
"bashing",32,139,25
"basic",716,11227,1931
"basics",110,411,52
"basil",17,798,76
"basin",68,1217,270
"basins",7,319,71
"basis",608,14449,1499
"bask",25,85,16
"basked",1,49,20
"basket",643,1351,320
"baskets",83,479,108
"basking",16,111,30
"basks",0,18,3
"bass",306,1891,150
"basses",3,138,8
"basset",10,40,3
"bassets",1,6,1
"bassoon",13,89,3
"bassoons",1,43,3
"bast",2,14,3
"bastard",2862,1403,341
"bastards",814,528,146
"baste",13,18,16
"basted",7,10,5
"bastes",0,1,3
"basting",3,29,12
"bastion",18,133,36
"bastions",3,65,11
"bat",913,1092,183
